"Date_Published","UID","iso2","iso3","code3","FIPS","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate","Population"
"11-28-2020",84000001,"US","USA",840,"01","Alabama","United States",2020-11-29 05:30:26,32.3182,-86.9023,244993,3572,161946,79475,4996.60934678174,NA,NA,NA,32099.5842498294,NA,4903185
"11-28-2020",84000002,"US","USA",840,"02","Alaska","United States",2020-11-29 05:30:26,61.3707,-152.4044,31444,121,7165,24158,4298.30017292169,NA,NA,NA,136567.675262629,NA,731545
"11-28-2020",16,"AS","ASM",16,"60","American Samoa","United States",2020-11-29 05:30:26,-14.271,-170.132,0,0,0,0,0,NA,NA,NA,3572.90487230639,NA,55641
"11-28-2020",84000004,"US","USA",840,"04","Arizona","United States",2020-11-29 05:30:26,33.7298,-111.4312,322774,6624,51333,264817,4434.49030921246,NA,NA,NA,30470.8096220804,NA,7278717
"11-28-2020",84000005,"US","USA",840,"05","Arkansas","United States",2020-11-29 05:30:26,34.9697,-92.3731,155026,2449,134312,18265,5137.04667367397,NA,NA,NA,54874.1402688843,NA,3017804
"11-28-2020",84000006,"US","USA",840,"06","California","United States",2020-11-29 05:30:26,36.1162,-119.6816,1212263,19132,0,1193131,3038.6141523852,NA,NA,NA,59660.4802518957,NA,39512223
"11-28-2020",84000008,"US","USA",840,"08","Colorado","United States",2020-11-29 05:30:26,39.0598,-105.3111,225283,2983,12153,210147,3912.02166586557,NA,NA,NA,54581.8908871669,NA,5758736
"11-28-2020",84000009,"US","USA",840,"09","Connecticut","United States",2020-11-29 05:30:26,41.5978,-72.7554,112581,4961,9800,97820,3157.69810396751,NA,NA,NA,88481.4322100857,NA,3565287
"11-28-2020",84000010,"US","USA",840,"10","Delaware","United States",2020-11-29 05:30:26,39.3185,-75.5071,34670,813,17082,16775,3560.41094146015,NA,NA,NA,73959.3987865643,NA,973764
"11-28-2020",84088888,"US","USA",840,"88888","Diamond Princess","United States",2020-11-29 05:30:26,NA,NA,49,0,0,49,NA,NA,NA,NA,NA,NA,NA
"11-28-2020",84000011,"US","USA",840,"11","District of Columbia","United States",2020-11-29 05:30:26,38.8974,-77.0268,21308,678,15603,5027,2980.94648380657,NA,NA,NA,97107.8952998871,NA,705749
"11-28-2020",84000012,"US","USA",840,"12","Florida","United States",2020-11-29 05:30:26,27.7663,-81.6868,985297,18442,0,966855,4587.52707512901,NA,NA,NA,57134.781006025,NA,21477737
"11-28-2020",84000013,"US","USA",840,"13","Georgia","United States",2020-11-29 05:30:26,33.0406,-83.6431,467564,9424,0,458140,4403.7427914476,NA,NA,NA,40396.0923474557,NA,10617423
"11-28-2020",84099999,"US","USA",840,"99999","Grand Princess","United States",2020-11-29 05:30:26,NA,NA,103,3,0,100,NA,NA,NA,NA,NA,NA,NA
"11-28-2020",316,"GU","GUM",316,"66","Guam","United States",2020-11-29 05:30:26,13.4443,144.7937,6768,112,5521,1135,4121.07484061889,NA,NA,NA,50670.1008957005,NA,164229
"11-28-2020",84000015,"US","USA",840,"15","Hawaii","United States",2020-11-29 05:30:26,21.0943,-157.4983,18082,240,11958,5884,1277.09284455092,NA,NA,NA,46594.6074221399,NA,1415872
"11-28-2020",84000016,"US","USA",840,"16","Idaho","United States",2020-11-29 05:30:26,44.2405,-114.4788,99660,913,39900,58847,5576.74175253838,NA,NA,NA,26238.2733700229,NA,1787065
"11-28-2020",84000017,"US","USA",840,"17","Illinois","United States",2020-11-29 05:30:26,40.3495,-88.9861,712936,12838,0,700098,5626.15270528206,NA,NA,NA,81821.5314120993,NA,12671821
"11-28-2020",84000018,"US","USA",840,"18","Indiana","United States",2020-11-29 05:30:26,39.8494,-86.2583,329008,6270,189640,133098,4887.0662110071,NA,NA,NA,62140.0016844372,NA,6732219
"11-28-2020",84000019,"US","USA",840,"19","Iowa","United States",2020-11-29 05:30:26,42.0115,-93.2105,227179,2375,130008,94796,7200.44246244933,NA,NA,NA,33713.3882924943,NA,3155070
"11-28-2020",84000020,"US","USA",840,"20","Kansas","United States",2020-11-29 05:30:26,38.5266,-96.7265,155396,1529,3352,150515,5337.56402502442,NA,NA,NA,27886.5923824208,NA,2913314
"11-28-2020",84000021,"US","USA",840,"21","Kentucky","United States",2020-11-29 05:30:26,37.6681,-84.6701,174182,1885,27998,144299,3898.71863943489,NA,NA,NA,57043.7451442843,NA,4467673
"11-28-2020",84000022,"US","USA",840,"22","Louisiana","United States",2020-11-29 05:30:26,31.1695,-91.8678,230602,6391,192488,31723,4960.46931741867,NA,NA,NA,72679.9896919502,NA,4648794
"11-28-2020",84000023,"US","USA",840,"23","Maine","United States",2020-11-29 05:30:26,44.6939,-69.3819,11288,191,8822,2275,839.748492053337,NA,NA,NA,62590.6479037533,NA,1344212
"11-28-2020",84000024,"US","USA",840,"24","Maryland","United States",2020-11-29 05:30:26,39.0639,-76.8021,194448,4602,8599,181247,3216.31313599132,NA,NA,NA,72169.7145730505,NA,6045680
"11-28-2020",84000025,"US","USA",840,"25","Massachusetts","United States",2020-11-29 05:30:26,42.2302,-71.5301,222469,10676,155473,56320,3227.69536698062,NA,NA,NA,120750.110663717,NA,6892503
"11-28-2020",84000026,"US","USA",840,"26","Michigan","United States",2020-11-29 05:30:26,43.3266,-84.5361,378152,9467,165269,203416,3786.49659247149,NA,NA,NA,65830.9315933932,NA,9986857
"11-28-2020",84000027,"US","USA",840,"27","Minnesota","United States",2020-11-29 05:30:26,45.6945,-93.9002,304023,3580,257485,42958,5390.83046553392,NA,NA,NA,71409.8898651543,NA,5639632
"11-28-2020",84000028,"US","USA",840,"28","Mississippi","United States",2020-11-29 05:30:26,32.7416,-89.6787,149940,3779,121637,24524,5038.05421032347,NA,NA,NA,36866.8369762401,NA,2976149
"11-28-2020",84000029,"US","USA",840,"29","Missouri","United States",2020-11-29 05:30:26,38.4561,-92.2884,299697,3844,0,295853,4873.29545861882,NA,NA,NA,49567.1476716305,NA,6137428
"11-28-2020",84000030,"US","USA",840,"30","Montana","United States",2020-11-29 05:30:26,46.9219,-110.4544,60845,669,44100,16076,5692.95026656612,NA,NA,NA,60386.0670784765,NA,1068778
"11-28-2020",84000031,"US","USA",840,"31","Nebraska","United States",2020-11-29 05:30:26,41.1254,-98.2681,125323,989,61605,62729,6478.62291719224,NA,NA,NA,69237.9787511218,NA,1934408
"11-28-2020",84000032,"US","USA",840,"32","Nevada","United States",2020-11-29 05:30:26,38.3135,-117.0554,149229,2119,0,147110,4844.8520139889,NA,NA,NA,52686.1626489048,NA,3080156
"11-28-2020",84000033,"US","USA",840,"33","New Hampshire","United States",2020-11-29 05:30:26,43.4525,-71.5639,20142,523,14642,4977,1472.73942771663,NA,NA,NA,57774.2623248617,NA,1359711
"11-28-2020",84000034,"US","USA",840,"34","New Jersey","United States",2020-11-29 05:30:26,40.2989,-74.521,358855,16965,43167,298723,3710.26740026953,NA,NA,NA,66915.7493816277,NA,8882190
"11-28-2020",84000035,"US","USA",840,"35","New Mexico","United States",2020-11-29 05:30:26,34.8405,-106.2485,93982,1527,31482,60973,4482.10130630586,NA,NA,NA,73263.103476726,NA,2096829
"11-28-2020",84000036,"US","USA",840,"36","New York","United States",2020-11-29 05:30:26,42.1657,-74.9481,643163,34526,84938,523699,3261.2949372097,NA,NA,NA,98260.6937619287,NA,19453561
"11-28-2020",84000037,"US","USA",840,"37","North Carolina","United States",2020-11-29 05:30:26,35.6301,-79.8064,357958,5219,293555,59184,3412.99707363137,NA,NA,NA,50007.742119533,NA,10488084
"11-28-2020",84000038,"US","USA",840,"38","North Dakota","United States",2020-11-29 05:30:26,47.5289,-99.784,77935,921,69669,7345,10226.8581821427,NA,NA,NA,140681.466862276,NA,762062
"11-28-2020",580,"MP","MNP",580,"69","Northern Mariana Islands","United States",2020-11-29 05:30:26,15.0979,145.6739,104,2,29,73,188.597127520673,NA,NA,NA,30558.1749601045,NA,55144
