"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"02-23-2020",NA,NA,"Hubei","Mainland China",2020-02-23 11:33:03,NA,NA,64084,2346,15343,NA,NA
"02-23-2020",NA,NA,"Guangdong","Mainland China",2020-02-23 08:53:02,NA,NA,1342,6,755,NA,NA
"02-23-2020",NA,NA,"Henan","Mainland China",2020-02-23 10:23:02,NA,NA,1271,19,868,NA,NA
"02-23-2020",NA,NA,"Zhejiang","Mainland China",2020-02-23 13:43:02,NA,NA,1205,1,760,NA,NA
"02-23-2020",NA,NA,"Hunan","Mainland China",2020-02-23 10:33:03,NA,NA,1016,4,714,NA,NA
"02-23-2020",NA,NA,"Anhui","Mainland China",2020-02-23 10:53:02,NA,NA,989,6,637,NA,NA
"02-23-2020",NA,NA,"Jiangxi","Mainland China",2020-02-23 09:23:02,NA,NA,934,1,613,NA,NA
"02-23-2020",NA,NA,"Shandong","Mainland China",2020-02-23 11:33:03,NA,NA,754,4,321,NA,NA
"02-23-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-02-23 22:33:03,NA,NA,691,3,0,NA,NA
"02-23-2020",NA,NA,"Jiangsu","Mainland China",2020-02-23 08:53:02,NA,NA,631,0,418,NA,NA
"02-23-2020",NA,NA,NA,"South Korea",2020-02-23 23:33:07,NA,NA,602,6,18,NA,NA
"02-23-2020",NA,NA,"Chongqing","Mainland China",2020-02-23 23:13:05,NA,NA,575,6,335,NA,NA
"02-23-2020",NA,NA,"Sichuan","Mainland China",2020-02-23 08:53:02,NA,NA,526,3,261,NA,NA
"02-23-2020",NA,NA,"Heilongjiang","Mainland China",2020-02-23 13:43:02,NA,NA,480,12,222,NA,NA
"02-23-2020",NA,NA,"Beijing","Mainland China",2020-02-23 01:13:13,NA,NA,399,4,189,NA,NA
"02-23-2020",NA,NA,"Shanghai","Mainland China",2020-02-23 03:13:07,NA,NA,335,3,249,NA,NA
"02-23-2020",NA,NA,"Hebei","Mainland China",2020-02-23 11:33:03,NA,NA,311,6,219,NA,NA
"02-23-2020",NA,NA,"Fujian","Mainland China",2020-02-23 10:33:03,NA,NA,293,1,170,NA,NA
"02-23-2020",NA,NA,"Guangxi","Mainland China",2020-02-23 10:33:03,NA,NA,249,2,106,NA,NA
